Invoice ID,Product Name,Product Category,Quantity,Transaction Date,Customer ID,Country/Region,Unit Price
INV536365,Beer,Beverages,1,2025-08-16 15:36,CUST14402,United Kingdom,8.99
INV536365,Diapers,Baby & Personal Care,1,2025-08-16 15:36,CUST14402,United Kingdom,19.99
INV536365,Baby Wipes,Baby & Personal Care,1,2025-08-16 15:36,CUST14402,United Kingdom,3.99
INV536365,Bread,Bakery,1,2025-08-16 15:36,CUST14402,United Kingdom,2.5
INV536365,Soap,Baby & Personal Care,3,2025-08-16 15:36,CUST14402,United Kingdom,1.5
INV536365,Butter,Dairy & Eggs,1,2025-08-16 15:36,CUST14402,United Kingdom,3.49
INV536366,Rice,Pantry,1,2025-09-17 19:26,CUST17845,United Kingdom,3.2
INV536366,Eggs,Dairy & Eggs,2,2025-09-17 19:26,CUST17845,United Kingdom,2.99
INV536366,Water,Beverages,2,2025-09-17 19:26,CUST17845,United Kingdom,0.99
INV536366,Croissant,Bakery,2,2025-09-17 19:26,CUST17845,United Kingdom,1.8
INV536367,Croissant,Bakery,1,2025-06-01 19:01,CUST10458,United Kingdom,1.8
INV536368,Cake,Bakery,2,2025-07-29 09:28,CUST15516,Spain,12.0
INV536368,Beer,Beverages,5,2025-07-29 09:28,CUST15516,Spain,8.99
INV536368,Water,Beverages,10,2025-07-29 09:28,CUST15516,Spain,0.99
INV536368,Sugar,Pantry,1,2025-07-29 09:28,CUST15516,Spain,2.1
INV536368,Bread,Bakery,4,2025-07-29 09:28,CUST15516,Spain,2.5
INV536368,Croissant,Bakery,1,2025-07-29 09:28,CUST15516,Spain,1.8
INV536368,Coffee,Pantry,1,2025-07-29 09:28,CUST15516,Spain,7.99
INV536368,Wine,Beverages,1,2025-07-29 09:28,CUST15516,Spain,14.99
INV536368,Milk,Dairy & Eggs,10,2025-07-29 09:28,CUST15516,Spain,1.99
INV536369,Water,Beverages,1,2025-03-18 09:16,CUST11131,United Kingdom,0.99
INV536369,Baby Wipes,Baby & Personal Care,4,2025-03-18 09:16,CUST11131,United Kingdom,3.99
INV536369,Cookies,Bakery,1,2025-03-18 09:16,CUST11131,United Kingdom,3.0
INV536369,Tea,Pantry,1,2025-03-18 09:16,CUST11131,United Kingdom,4.5
INV536369,Soap,Baby & Personal Care,2,2025-03-18 09:16,CUST11131,United Kingdom,1.5
INV536369,Milk,Dairy & Eggs,2,2025-03-18 09:16,CUST11131,United Kingdom,1.99
INV536370,Bagel,Bakery,2,2025-09-23 17:09,CUST11967,France,1.5
INV536370,Eggs,Dairy & Eggs,1,2025-09-23 17:09,CUST11967,France,2.99
INV536370,Tomato Sauce,Pantry,1,2025-09-23 17:09,CUST11967,France,2.79
INV536370,Croissant,Bakery,1,2025-09-23 17:09,CUST11967,France,1.8
INV536371,Water,Beverages,3,2025-06-04 16:32,CUST13654,United Kingdom,0.99
INV536371,Bread,Bakery,1,2025-06-04 16:32,CUST13654,United Kingdom,2.5
INV536372,Beer,Beverages,1,2025-01-19 09:09,CUST19583,United Kingdom,8.99
INV536372,Water,Beverages,1,2025-01-19 09:09,CUST19583,United Kingdom,0.99
INV536372,Juice,Beverages,3,2025-01-19 09:09,CUST19583,United Kingdom,3.5
INV536372,Cookies,Bakery,1,2025-01-19 09:09,CUST19583,United Kingdom,3.0
INV536372,Tea,Pantry,1,2025-01-19 09:09,CUST19583,United Kingdom,4.5
INV536372,Croissant,Bakery,2,2025-01-19 09:09,CUST19583,United Kingdom,1.8
INV536372,Milk,Dairy & Eggs,1,2025-01-19 09:09,CUST19583,United Kingdom,1.99
INV536373,Coffee,Pantry,2,2025-04-04 16:47,CUST16251,United Kingdom,7.99
INV536373,Milk,Dairy & Eggs,2,2025-04-04 16:47,CUST16251,United Kingdom,1.99
INV536373,Eggs,Dairy & Eggs,1,2025-04-04 16:47,CUST16251,United Kingdom,2.99
INV536373,Croissant,Bakery,2,2025-04-04 16:47,CUST16251,United Kingdom,1.8
INV536374,Tomato Sauce,Pantry,1,2025-02-13 20:20,CUST18855,United Kingdom,2.79
INV536374,Soda,Beverages,5,2025-02-13 20:20,CUST18855,United Kingdom,1.79
INV536374,Sugar,Pantry,1,2025-02-13 20:20,CUST18855,United Kingdom,2.1
INV536374,Bread,Bakery,1,2025-02-13 20:20,CUST18855,United Kingdom,2.5
INV536374,Coffee,Pantry,10,2025-02-13 20:20,CUST18855,United Kingdom,7.99
INV536374,Yogurt,Dairy & Eggs,2,2025-02-13 20:20,CUST18855,United Kingdom,1.2
INV536374,Eggs,Dairy & Eggs,1,2025-02-13 20:20,CUST18855,United Kingdom,2.99
INV536374,Milk,Dairy & Eggs,2,2025-02-13 20:20,CUST18855,United Kingdom,1.99
INV536375,Soda,Beverages,3,2025-02-21 08:00,CUST11262,United Kingdom,1.79
INV536375,Juice,Beverages,2,2025-02-21 08:00,CUST11262,United Kingdom,3.5
INV536376,Soda,Beverages,1,2025-10-15 09:32,CUST13177,United Kingdom,1.79
INV536376,Yogurt,Dairy & Eggs,3,2025-10-15 09:32,CUST13177,United Kingdom,1.2
INV536376,Tomato Sauce,Pantry,2,2025-10-15 09:32,CUST13177,United Kingdom,2.79
INV536377,Beer,Beverages,1,2025-07-18 14:35,CUST19519,United Kingdom,8.99
INV536377,Tea,Pantry,1,2025-07-18 14:35,CUST19519,United Kingdom,4.5
INV536377,Cookies,Bakery,3,2025-07-18 14:35,CUST19519,United Kingdom,3.0
INV536378,Coffee,Pantry,1,2025-01-16 17:57,CUST12791,United Kingdom,7.99
INV536378,Sugar,Pantry,1,2025-01-16 17:57,CUST12791,United Kingdom,2.1
INV536378,Water,Beverages,10,2025-01-16 17:57,CUST12791,United Kingdom,0.99
INV536378,Milk,Dairy & Eggs,1,2025-01-16 17:57,CUST12791,United Kingdom,1.99
INV536379,Jam,Pantry,3,2025-08-28 20:41,CUST15432,United Kingdom,4.2
INV536379,Baby Wipes,Baby & Personal Care,1,2025-08-28 20:41,CUST15432,United Kingdom,3.99
INV536379,Soda,Beverages,1,2025-08-28 20:41,CUST15432,United Kingdom,1.79
INV536379,Croissant,Bakery,2,2025-08-28 20:41,CUST15432,United Kingdom,1.8
INV536379,Bread,Bakery,1,2025-08-28 20:41,CUST15432,United Kingdom,2.5
INV536379,Coffee,Pantry,10,2025-08-28 20:41,CUST15432,United Kingdom,7.99
INV536379,Rice,Pantry,3,2025-08-28 20:41,CUST15432,United Kingdom,3.2
INV536379,Butter,Dairy & Eggs,1,2025-08-28 20:41,CUST15432,United Kingdom,3.49
INV536380,Water,Beverages,5,2025-07-12 09:59,CUST15166,United Kingdom,0.99
INV536380,Baby Wipes,Baby & Personal Care,1,2025-07-12 09:59,CUST15166,United Kingdom,3.99
INV536380,Cookies,Bakery,1,2025-07-12 09:59,CUST15166,United Kingdom,3.0
INV536380,Soda,Beverages,1,2025-07-12 09:59,CUST15166,United Kingdom,1.79
INV536380,Tea,Pantry,1,2025-07-12 09:59,CUST15166,United Kingdom,4.5
INV536380,Croissant,Bakery,4,2025-07-12 09:59,CUST15166,United Kingdom,1.8
INV536380,Shampoo,Baby & Personal Care,3,2025-07-12 09:59,CUST15166,United Kingdom,4.99
INV536380,Rice,Pantry,5,2025-07-12 09:59,CUST15166,United Kingdom,3.2
INV536381,Jam,Pantry,4,2025-10-19 17:18,CUST13285,United Kingdom,4.2
INV536381,Cookies,Bakery,2,2025-10-19 17:18,CUST13285,United Kingdom,3.0
INV536381,Soda,Beverages,1,2025-10-19 17:18,CUST13285,United Kingdom,1.79
INV536381,Tea,Pantry,10,2025-10-19 17:18,CUST13285,United Kingdom,4.5
INV536381,Sugar,Pantry,4,2025-10-19 17:18,CUST13285,United Kingdom,2.1
INV536381,Bread,Bakery,3,2025-10-19 17:18,CUST13285,United Kingdom,2.5
INV536381,Coffee,Pantry,4,2025-10-19 17:18,CUST13285,United Kingdom,7.99
INV536381,Milk,Dairy & Eggs,3,2025-10-19 17:18,CUST13285,United Kingdom,1.99
INV536381,Butter,Dairy & Eggs,1,2025-10-19 17:18,CUST13285,United Kingdom,3.49
INV536382,Tomato Sauce,Pantry,2,2025-12-05 13:08,CUST18149,United Kingdom,2.79
INV536382,Pasta,Pantry,1,2025-12-05 13:08,CUST18149,United Kingdom,1.49
INV536382,Bread,Bakery,2,2025-12-05 13:08,CUST18149,United Kingdom,2.5
INV536382,Olive Oil,Pantry,2,2025-12-05 13:08,CUST18149,United Kingdom,9.99
INV536382,Yogurt,Dairy & Eggs,1,2025-12-05 13:08,CUST18149,United Kingdom,1.2
INV536382,Soap,Baby & Personal Care,10,2025-12-05 13:08,CUST18149,United Kingdom,1.5
INV536382,Eggs,Dairy & Eggs,1,2025-12-05 13:08,CUST18149,United Kingdom,2.99
INV536382,Butter,Dairy & Eggs,1,2025-12-05 13:08,CUST18149,United Kingdom,3.49
INV536383,Baby Wipes,Baby & Personal Care,2,2025-11-10 20:20,CUST13443,United Kingdom,3.99
INV536383,Water,Beverages,2,2025-11-10 20:20,CUST13443,United Kingdom,0.99
INV536383,Bread,Bakery,3,2025-11-10 20:20,CUST13443,United Kingdom,2.5
INV536383,Butter,Dairy & Eggs,2,2025-11-10 20:20,CUST13443,United Kingdom,3.49
INV536384,Water,Beverages,1,2025-09-19 08:20,CUST14635,United Kingdom,0.99
INV536384,Jam,Pantry,1,2025-09-19 08:20,CUST14635,United Kingdom,4.2
INV536384,Olive Oil,Pantry,1,2025-09-19 08:20,CUST14635,United Kingdom,9.99
INV536384,Coffee,Pantry,3,2025-09-19 08:20,CUST14635,United Kingdom,7.99
INV536384,Yogurt,Dairy & Eggs,2,2025-09-19 08:20,CUST14635,United Kingdom,1.2
INV536384,Eggs,Dairy & Eggs,2,2025-09-19 08:20,CUST14635,United Kingdom,2.99
INV536384,Soap,Baby & Personal Care,1,2025-09-19 08:20,CUST14635,United Kingdom,1.5
INV536384,Milk,Dairy & Eggs,1,2025-09-19 08:20,CUST14635,United Kingdom,1.99
INV536385,Cheese,Dairy & Eggs,2,2025-02-06 20:32,CUST11662,United Kingdom,5.99
INV536385,Water,Beverages,3,2025-02-06 20:32,CUST11662,United Kingdom,0.99
INV536385,Cookies,Bakery,2,2025-02-06 20:32,CUST11662,United Kingdom,3.0
INV536385,Soda,Beverages,1,2025-02-06 20:32,CUST11662,United Kingdom,1.79
INV536385,Tea,Pantry,1,2025-02-06 20:32,CUST11662,United Kingdom,4.5
INV536385,Milk,Dairy & Eggs,1,2025-02-06 20:32,CUST11662,United Kingdom,1.99
INV536386,Cheese,Dairy & Eggs,1,2025-11-30 14:14,CUST10079,France,5.99
INV536386,Jam,Pantry,3,2025-11-30 14:14,CUST10079,France,4.2
INV536386,Juice,Beverages,2,2025-11-30 14:14,CUST10079,France,3.5
INV536386,Soda,Beverages,3,2025-11-30 14:14,CUST10079,France,1.79
INV536386,Croissant,Bakery,3,2025-11-30 14:14,CUST10079,France,1.8
INV536386,Bread,Bakery,1,2025-11-30 14:14,CUST10079,France,2.5
INV536386,Coffee,Pantry,4,2025-11-30 14:14,CUST10079,France,7.99
INV536386,Milk,Dairy & Eggs,2,2025-11-30 14:14,CUST10079,France,1.99
INV536386,Butter,Dairy & Eggs,4,2025-11-30 14:14,CUST10079,France,3.49
INV536387,Water,Beverages,4,2025-04-27 14:32,CUST14727,United Kingdom,0.99
INV536387,Diapers,Baby & Personal Care,5,2025-04-27 14:32,CUST14727,United Kingdom,19.99
INV536387,Jam,Pantry,3,2025-04-27 14:32,CUST14727,United Kingdom,4.2
INV536387,Baby Wipes,Baby & Personal Care,4,2025-04-27 14:32,CUST14727,United Kingdom,3.99
INV536387,Tea,Pantry,2,2025-04-27 14:32,CUST14727,United Kingdom,4.5
INV536387,Bread,Bakery,1,2025-04-27 14:32,CUST14727,United Kingdom,2.5
INV536387,Butter,Dairy & Eggs,1,2025-04-27 14:32,CUST14727,United Kingdom,3.49
INV536388,Jam,Pantry,2,2025-01-27 10:06,CUST15768,France,4.2
INV536388,Water,Beverages,1,2025-01-27 10:06,CUST15768,France,0.99
INV536388,Sugar,Pantry,2,2025-01-27 10:06,CUST15768,France,2.1
INV536388,Yogurt,Dairy & Eggs,10,2025-01-27 10:06,CUST15768,France,1.2
INV536388,Milk,Dairy & Eggs,2,2025-01-27 10:06,CUST15768,France,1.99
INV536389,Cheese,Dairy & Eggs,5,2025-02-04 10:53,CUST17808,United Kingdom,5.99
INV536389,Water,Beverages,1,2025-02-04 10:53,CUST17808,United Kingdom,0.99
INV536389,Soda,Beverages,1,2025-02-04 10:53,CUST17808,United Kingdom,1.79
INV536389,Tea,Pantry,3,2025-02-04 10:53,CUST17808,United Kingdom,4.5
INV536389,Sugar,Pantry,2,2025-02-04 10:53,CUST17808,United Kingdom,2.1
INV536389,Bread,Bakery,2,2025-02-04 10:53,CUST17808,United Kingdom,2.5
INV536389,Olive Oil,Pantry,5,2025-02-04 10:53,CUST17808,United Kingdom,9.99
INV536389,Yogurt,Dairy & Eggs,2,2025-02-04 10:53,CUST17808,United Kingdom,1.2
INV536389,Wine,Beverages,3,2025-02-04 10:53,CUST17808,United Kingdom,14.99
INV536389,Milk,Dairy & Eggs,1,2025-02-04 10:53,CUST17808,United Kingdom,1.99
INV536389,Butter,Dairy & Eggs,5,2025-02-04 10:53,CUST17808,United Kingdom,3.49
INV536390,Water,Beverages,1,2025-05-25 18:42,CUST13091,United Kingdom,0.99
INV536390,Baby Wipes,Baby & Personal Care,1,2025-05-25 18:42,CUST13091,United Kingdom,3.99
INV536390,Jam,Pantry,1,2025-05-25 18:42,CUST13091,United Kingdom,4.2
INV536390,Bread,Bakery,1,2025-05-25 18:42,CUST13091,United Kingdom,2.5
INV536390,Shampoo,Baby & Personal Care,1,2025-05-25 18:42,CUST13091,United Kingdom,4.99
INV536390,Milk,Dairy & Eggs,1,2025-05-25 18:42,CUST13091,United Kingdom,1.99
INV536390,Butter,Dairy & Eggs,1,2025-05-25 18:42,CUST13091,United Kingdom,3.49
INV536391,Cheese,Dairy & Eggs,1,2025-05-06 19:51,CUST11173,United Kingdom,5.99
INV536391,Water,Beverages,2,2025-05-06 19:51,CUST11173,United Kingdom,0.99
INV536391,Jam,Pantry,1,2025-05-06 19:51,CUST11173,United Kingdom,4.2
INV536391,Bread,Bakery,1,2025-05-06 19:51,CUST11173,United Kingdom,2.5
