antecedent_str,consequent_str,support,confidence,lift,leverage,conviction,antecedent_items,consequent_items,antecedent_len,consequent_len
"Cheese, Sugar, Tomato Sauce, Milk","Coffee, Pasta",0.02,0.8474576271186441,14.412544678888507,0.01861232,6.170088888888892,"['Cheese', 'Sugar', 'Tomato Sauce', 'Milk']","['Coffee', 'Pasta']",4,2
"Coffee, Pasta","Cheese, Sugar, Tomato Sauce, Milk",0.02,0.34013605442176875,14.412544678888507,0.01861232,1.4796989690721651,"['Coffee', 'Pasta']","['Cheese', 'Sugar', 'Tomato Sauce', 'Milk']",2,4
"Diapers, Tomato Sauce","Pasta, Baby Wipes",0.0248,0.6262626262626262,14.105014105014103,0.023041759999999998,2.556875675675675,"['Diapers', 'Tomato Sauce']","['Pasta', 'Baby Wipes']",2,2
"Pasta, Baby Wipes","Diapers, Tomato Sauce",0.0248,0.5585585585585585,14.105014105014103,0.023041759999999998,2.1755999999999998,"['Pasta', 'Baby Wipes']","['Diapers', 'Tomato Sauce']",2,2
"Cheese, Coffee, Tomato Sauce","Pasta, Sugar, Milk",0.02,0.574712643678161,13.815207780725025,0.01855232,2.253535135135136,"['Cheese', 'Coffee', 'Tomato Sauce']","['Pasta', 'Sugar', 'Milk']",3,3
"Pasta, Sugar, Milk","Cheese, Coffee, Tomato Sauce",0.02,0.4807692307692308,13.815207780725023,0.01855232,1.8589037037037042,"['Pasta', 'Sugar', 'Milk']","['Cheese', 'Coffee', 'Tomato Sauce']",3,3
"Pasta, Diapers","Tomato Sauce, Baby Wipes",0.0248,0.7045454545454545,13.65398167723749,0.02298368,3.20996923076923,"['Pasta', 'Diapers']","['Tomato Sauce', 'Baby Wipes']",2,2
"Tomato Sauce, Baby Wipes","Pasta, Diapers",0.0248,0.48062015503875966,13.65398167723749,0.02298368,1.8576,"['Tomato Sauce', 'Baby Wipes']","['Pasta', 'Diapers']",2,2
"Sugar, Tomato Sauce, Milk","Cheese, Coffee, Pasta",0.02,0.45871559633027525,13.652249890782002,0.01853504,1.7853830508474577,"['Sugar', 'Tomato Sauce', 'Milk']","['Cheese', 'Coffee', 'Pasta']",3,3
"Cheese, Coffee, Pasta","Sugar, Tomato Sauce, Milk",0.02,0.5952380952380952,13.652249890782,0.01853504,2.3628705882352943,"['Cheese', 'Coffee', 'Pasta']","['Sugar', 'Tomato Sauce', 'Milk']",3,3
"Coffee, Tomato Sauce","Cheese, Pasta, Sugar, Milk",0.02,0.3067484662576688,12.997816366850373,0.01846128,1.4084353982300886,"['Coffee', 'Tomato Sauce']","['Cheese', 'Pasta', 'Sugar', 'Milk']",2,4
"Cheese, Pasta, Sugar, Milk","Coffee, Tomato Sauce",0.02,0.8474576271186441,12.99781636685037,0.01846128,6.128133333333336,"['Cheese', 'Pasta', 'Sugar', 'Milk']","['Coffee', 'Tomato Sauce']",4,2
"Cheese, Sugar, Tomato Sauce","Coffee, Pasta, Milk",0.02,0.574712643678161,12.176115332164429,0.01835744,2.240367567567568,"['Cheese', 'Sugar', 'Tomato Sauce']","['Coffee', 'Pasta', 'Milk']",3,3
"Coffee, Pasta, Milk","Cheese, Sugar, Tomato Sauce",0.02,0.42372881355932207,12.176115332164429,0.01835744,1.6749058823529412,"['Coffee', 'Pasta', 'Milk']","['Cheese', 'Sugar', 'Tomato Sauce']",3,3
"Cheese, Coffee, Tomato Sauce, Milk","Pasta, Sugar",0.02,0.7142857142857143,12.065637065637066,0.018342400000000002,3.2928,"['Cheese', 'Coffee', 'Tomato Sauce', 'Milk']","['Pasta', 'Sugar']",4,2
"Pasta, Sugar","Cheese, Coffee, Tomato Sauce, Milk",0.02,0.33783783783783783,12.065637065637064,0.018342400000000002,1.4679183673469387,"['Pasta', 'Sugar']","['Cheese', 'Coffee', 'Tomato Sauce', 'Milk']",2,4
"Cheese, Sugar, Tomato Sauce","Coffee, Pasta",0.0244,0.7011494252873565,11.924309953866606,0.02235376,3.1494000000000018,"['Cheese', 'Sugar', 'Tomato Sauce']","['Coffee', 'Pasta']",3,2
"Coffee, Pasta","Cheese, Sugar, Tomato Sauce",0.0244,0.41496598639455784,11.924309953866606,0.02235376,1.649818604651163,"['Coffee', 'Pasta']","['Cheese', 'Sugar', 'Tomato Sauce']",2,3
"Cheese, Pasta, Sugar","Coffee, Tomato Sauce, Milk",0.02,0.6024096385542169,11.858457451854663,0.01831344,2.3873818181818187,"['Cheese', 'Pasta', 'Sugar']","['Coffee', 'Tomato Sauce', 'Milk']",3,3
"Coffee, Tomato Sauce, Milk","Cheese, Pasta, Sugar",0.02,0.3937007874015748,11.858457451854663,0.01831344,1.5945922077922077,"['Coffee', 'Tomato Sauce', 'Milk']","['Cheese', 'Pasta', 'Sugar']",3,3
"Cheese, Coffee, Tomato Sauce","Pasta, Sugar",0.0244,0.7011494252873565,11.843740292016156,0.02233984,3.14806153846154,"['Cheese', 'Coffee', 'Tomato Sauce']","['Pasta', 'Sugar']",3,2
"Pasta, Sugar","Cheese, Coffee, Tomato Sauce",0.0244,0.41216216216216217,11.843740292016156,0.02233984,1.6419494252873565,"['Pasta', 'Sugar']","['Cheese', 'Coffee', 'Tomato Sauce']",2,3
"Sugar, Tomato Sauce, Milk","Coffee, Pasta",0.0292,0.6697247706422018,11.389877051738127,0.02663632,2.849744444444444,"['Sugar', 'Tomato Sauce', 'Milk']","['Coffee', 'Pasta']",3,2
"Coffee, Pasta","Sugar, Tomato Sauce, Milk",0.0292,0.4965986394557823,11.389877051738127,0.02663632,1.8998756756756756,"['Coffee', 'Pasta']","['Sugar', 'Tomato Sauce', 'Milk']",2,3
"Coffee, Diapers","Sugar, Baby Wipes",0.026,0.6310679611650485,11.350143186421736,0.02370928,2.5598210526315786,"['Coffee', 'Diapers']","['Sugar', 'Baby Wipes']",2,2
"Sugar, Baby Wipes","Coffee, Diapers",0.026,0.4676258992805755,11.350143186421736,0.02370928,1.8009891891891892,"['Sugar', 'Baby Wipes']","['Coffee', 'Diapers']",2,2
"Cheese, Pasta, Sugar","Coffee, Tomato Sauce",0.0244,0.7349397590361446,11.2720821938059,0.022235360000000003,3.526745454545455,"['Cheese', 'Pasta', 'Sugar']","['Coffee', 'Tomato Sauce']",3,2
"Coffee, Tomato Sauce","Cheese, Pasta, Sugar",0.0244,0.3742331288343559,11.2720821938059,0.022235360000000003,1.5449843137254904,"['Coffee', 'Tomato Sauce']","['Cheese', 'Pasta', 'Sugar']",2,3
"Coffee, Baby Wipes","Sugar, Diapers",0.026,0.5,11.26126126126126,0.0236912,1.9112,"['Coffee', 'Baby Wipes']","['Sugar', 'Diapers']",2,2
"Sugar, Diapers","Coffee, Baby Wipes",0.026,0.5855855855855855,11.261261261261259,0.0236912,2.287565217391304,"['Sugar', 'Diapers']","['Coffee', 'Baby Wipes']",2,2
"Cheese, Coffee, Pasta, Milk","Sugar, Tomato Sauce",0.02,0.7352941176470589,10.941876750700281,0.01817216,3.523911111111112,"['Cheese', 'Coffee', 'Pasta', 'Milk']","['Sugar', 'Tomato Sauce']",4,2
"Sugar, Tomato Sauce","Cheese, Coffee, Pasta, Milk",0.02,0.2976190476190476,10.941876750700281,0.01817216,1.3850033898305085,"['Sugar', 'Tomato Sauce']","['Cheese', 'Coffee', 'Pasta', 'Milk']",2,4
"Cheese, Coffee, Pasta","Sugar, Tomato Sauce",0.0244,0.7261904761904763,10.806405895691611,0.02214208,3.4067478260869573,"['Cheese', 'Coffee', 'Pasta']","['Sugar', 'Tomato Sauce']",3,2
"Sugar, Tomato Sauce","Cheese, Coffee, Pasta",0.0244,0.36309523809523814,10.806405895691611,0.02214208,1.5173383177570094,"['Sugar', 'Tomato Sauce']","['Cheese', 'Coffee', 'Pasta']",2,3
"Pasta, Sugar, Milk","Coffee, Tomato Sauce",0.0292,0.701923076923077,10.765691363850875,0.02648768,3.136103225806452,"['Pasta', 'Sugar', 'Milk']","['Coffee', 'Tomato Sauce']",3,2
"Coffee, Tomato Sauce","Pasta, Sugar, Milk",0.0292,0.44785276073619634,10.765691363850873,0.02648768,1.7357688888888891,"['Coffee', 'Tomato Sauce']","['Pasta', 'Sugar', 'Milk']",2,3
"Cheese, Tomato Sauce, Bread","Pasta, Butter",0.0292,0.6822429906542057,10.727091048022102,0.026477920000000002,2.946905882352942,"['Cheese', 'Tomato Sauce', 'Bread']","['Pasta', 'Butter']",3,2
"Pasta, Butter","Cheese, Tomato Sauce, Bread",0.0292,0.45911949685534587,10.7270910480221,0.026477920000000002,1.7697069767441858,"['Pasta', 'Butter']","['Cheese', 'Tomato Sauce', 'Bread']",2,3
"Diapers, Jam, Bread","Baby Wipes, Butter",0.0208,0.7027027027027026,10.71193144363876,0.01885824,3.1429818181818177,"['Diapers', 'Jam', 'Bread']","['Baby Wipes', 'Butter']",3,2
"Baby Wipes, Butter","Diapers, Jam, Bread",0.0208,0.31707317073170727,10.71193144363876,0.01885824,1.420942857142857,"['Baby Wipes', 'Butter']","['Diapers', 'Jam', 'Bread']",2,3
"Bread, Jam, Baby Wipes","Diapers, Butter",0.0208,0.5148514851485149,10.637427379101547,0.01884464,1.961461224489796,"['Bread', 'Jam', 'Baby Wipes']","['Diapers', 'Butter']",3,2
"Diapers, Butter","Bread, Jam, Baby Wipes",0.0208,0.4297520661157025,10.637427379101547,0.01884464,1.682776811594203,"['Diapers', 'Butter']","['Bread', 'Jam', 'Baby Wipes']",2,3
"Bread, Jam, Tomato Sauce","Pasta, Butter",0.0284,0.669811320754717,10.531624540168506,0.02570336,2.8359542857142865,"['Bread', 'Jam', 'Tomato Sauce']","['Pasta', 'Butter']",3,2
"Pasta, Butter","Bread, Jam, Tomato Sauce",0.0284,0.44654088050314467,10.531624540168506,0.02570336,1.730209090909091,"['Pasta', 'Butter']","['Bread', 'Jam', 'Tomato Sauce']",2,3
"Cheese, Tomato Sauce, Butter","Pasta, Bread",0.0292,0.73,10.488505747126437,0.026416000000000002,3.4459259259259256,"['Cheese', 'Tomato Sauce', 'Butter']","['Pasta', 'Bread']",3,2
"Pasta, Bread","Cheese, Tomato Sauce, Butter",0.0292,0.4195402298850575,10.488505747126437,0.026416000000000002,1.6538613861386138,"['Pasta', 'Bread']","['Cheese', 'Tomato Sauce', 'Butter']",2,3
"Coffee, Jam, Bread","Sugar, Milk, Butter",0.0248,0.5438596491228069,10.379000937458148,0.02241056,2.077430769230769,"['Coffee', 'Jam', 'Bread']","['Sugar', 'Milk', 'Butter']",3,3
"Sugar, Milk, Butter","Coffee, Jam, Bread",0.0248,0.47328244274809156,10.379000937458148,0.02241056,1.8119768115942025,"['Sugar', 'Milk', 'Butter']","['Coffee', 'Jam', 'Bread']",3,3
"Pasta, Bread","Jam, Tomato Sauce, Butter",0.0284,0.4080459770114943,9.808797524314768,0.025504640000000002,1.619044660194175,"['Pasta', 'Bread']","['Jam', 'Tomato Sauce', 'Butter']",2,3
"Jam, Tomato Sauce, Butter","Pasta, Bread",0.0284,0.6826923076923077,9.808797524314766,0.025504640000000002,2.932169696969697,"['Jam', 'Tomato Sauce', 'Butter']","['Pasta', 'Bread']",3,2
"Sugar, Cookies, Milk","Coffee, Tea",0.0216,0.5192307692307693,9.759976865240024,0.019386880000000002,1.9693440000000002,"['Sugar', 'Cookies', 'Milk']","['Coffee', 'Tea']",3,2
"Coffee, Tea","Sugar, Cookies, Milk",0.0216,0.406015037593985,9.759976865240024,0.019386880000000002,1.613508860759494,"['Coffee', 'Tea']","['Sugar', 'Cookies', 'Milk']",2,3
"Diapers, Bread, Butter","Jam, Baby Wipes",0.0208,0.5148514851485149,9.750975097509752,0.01866688,1.952391836734694,"['Diapers', 'Bread', 'Butter']","['Jam', 'Baby Wipes']",3,2
