support,itemsets
0.3464,frozenset({'Bread'})
0.3364,frozenset({'Butter'})
0.2124,frozenset({'Baby Wipes'})
0.1688,frozenset({'Beer'})
0.156,frozenset({'Diapers'})
0.0944,frozenset({'Soap'})
0.4044,frozenset({'Water'})
0.226,frozenset({'Eggs'})
0.15,frozenset({'Croissant'})
0.1092,frozenset({'Rice'})
0.412,frozenset({'Milk'})
0.2576,frozenset({'Sugar'})
0.2508,frozenset({'Coffee'})
0.178,frozenset({'Wine'})
0.1012,frozenset({'Cake'})
0.2396,frozenset({'Cookies'})
0.232,frozenset({'Tea'})
0.252,frozenset({'Tomato Sauce'})
0.106,frozenset({'Bagel'})
0.11,frozenset({'Juice'})
0.2748,frozenset({'Soda'})
0.2104,frozenset({'Yogurt'})
0.2528,frozenset({'Jam'})
0.0956,frozenset({'Shampoo'})
0.2044,frozenset({'Pasta'})
0.084,frozenset({'Olive Oil'})
0.2724,frozenset({'Cheese'})
0.1444,"frozenset({'Milk', 'Bread'})"
0.1308,"frozenset({'Water', 'Bread'})"
0.0568,"frozenset({'Milk', 'Water', 'Bread'})"
0.2692,"frozenset({'Bread', 'Butter'})"
0.1408,"frozenset({'Milk', 'Butter'})"
0.134,"frozenset({'Water', 'Butter'})"
0.1128,"frozenset({'Milk', 'Bread', 'Butter'})"
0.1016,"frozenset({'Water', 'Bread', 'Butter'})"
0.0552,"frozenset({'Water', 'Milk', 'Butter'})"
0.0424,"frozenset({'Milk', 'Water', 'Bread', 'Butter'})"
0.0768,"frozenset({'Bread', 'Baby Wipes'})"
0.0656,"frozenset({'Baby Wipes', 'Butter'})"
0.0928,"frozenset({'Water', 'Baby Wipes'})"
0.088,"frozenset({'Milk', 'Baby Wipes'})"
0.054,"frozenset({'Cookies', 'Baby Wipes'})"
0.0504,"frozenset({'Tea', 'Baby Wipes'})"
0.058,"frozenset({'Soda', 'Baby Wipes'})"
0.0528,"frozenset({'Jam', 'Baby Wipes'})"
0.052,"frozenset({'Coffee', 'Baby Wipes'})"
0.0516,"frozenset({'Tomato Sauce', 'Baby Wipes'})"
0.0564,"frozenset({'Cheese', 'Baby Wipes'})"
0.0556,"frozenset({'Sugar', 'Baby Wipes'})"
0.0456,"frozenset({'Eggs', 'Baby Wipes'})"
0.034,"frozenset({'Bread', 'Water', 'Baby Wipes'})"
0.032,"frozenset({'Milk', 'Bread', 'Baby Wipes'})"
0.0544,"frozenset({'Bread', 'Baby Wipes', 'Butter'})"
0.0296,"frozenset({'Water', 'Baby Wipes', 'Butter'})"
0.0276,"frozenset({'Milk', 'Baby Wipes', 'Butter'})"
0.0244,"frozenset({'Bread', 'Water', 'Baby Wipes', 'Butter'})"
0.0228,"frozenset({'Milk', 'Bread', 'Baby Wipes', 'Butter'})"
0.0404,"frozenset({'Milk', 'Water', 'Baby Wipes'})"
0.0252,"frozenset({'Milk', 'Cookies', 'Baby Wipes'})"
0.0252,"frozenset({'Water', 'Cookies', 'Baby Wipes'})"
0.0348,"frozenset({'Tea', 'Cookies', 'Baby Wipes'})"
0.0252,"frozenset({'Tea', 'Water', 'Baby Wipes'})"
0.0216,"frozenset({'Milk', 'Tea', 'Baby Wipes'})"
0.0236,"frozenset({'Soda', 'Water', 'Baby Wipes'})"
0.022,"frozenset({'Soda', 'Milk', 'Baby Wipes'})"
0.0404,"frozenset({'Jam', 'Bread', 'Baby Wipes'})"
0.0392,"frozenset({'Jam', 'Baby Wipes', 'Butter'})"
0.0232,"frozenset({'Jam', 'Water', 'Baby Wipes'})"
0.0216,"frozenset({'Milk', 'Jam', 'Baby Wipes'})"
0.038,"frozenset({'Jam', 'Bread', 'Baby Wipes', 'Butter'})"
